,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
4,Entire home/apt,6,2.0,3.0,3.0,Real Bed,599.0,800.0,290.0,125.0,1,0.0,2,27,57,87,358,0.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
7,Private room,2,1.0,1.0,1.0,Real Bed,40.0,800.0,290.0,25.0,2,10.0,1,16,16,37,312,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate
9,Private room,2,1.0,1.0,1.0,Real Bed,44.0,275.0,290.0,10.0,2,19.0,1,29,59,89,364,0.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate
11,Private room,2,1.0,1.0,1.0,Real Bed,50.0,800.0,200.0,50.0,1,10.0,3,24,54,84,84,0.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
12,Private room,2,1.0,1.0,1.0,Real Bed,49.0,350.0,290.0,65.0,1,0.0,2,25,55,85,360,4.0,100.0,9.0,10.0,10.0,10.0,10.0,10.0,0,strict
13,Private room,2,1.0,1.0,1.0,Real Bed,50.0,300.0,290.0,65.0,1,20.0,3,29,59,89,364,7.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
14,Private room,2,1.0,1.0,1.0,Real Bed,55.0,800.0,100.0,75.0,1,0.0,1,30,60,90,365,14.0,99.0,10.0,10.0,10.0,10.0,9.0,9.0,0,strict
19,Private room,2,1.0,1.0,1.0,Real Bed,49.0,250.0,100.0,20.0,2,25.0,1,4,4,4,254,0.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict
23,Private room,6,1.0,1.0,2.0,Real Bed,50.0,300.0,290.0,65.0,4,10.0,1,19,44,63,153,0.0,94.0,10.0,9.0,10.0,10.0,9.0,10.0,0,moderate
26,Private room,2,1.5,1.0,2.0,Real Bed,49.0,800.0,100.0,20.0,2,25.0,1,19,49,79,354,0.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict
28,Private room,2,1.0,1.0,1.0,Real Bed,75.0,350.0,100.0,15.0,1,20.0,1,30,60,90,365,0.0,100.0,10.0,10.0,10.0,10.0,10.0,8.0,0,strict
29,Private room,2,1.0,1.0,1.0,Airbed,50.0,800.0,290.0,65.0,1,0.0,1,30,60,90,353,0.0,60.0,6.0,8.0,8.0,8.0,4.0,8.0,0,flexible
35,Private room,4,1.0,1.0,1.0,Real Bed,59.0,460.0,100.0,10.0,4,15.0,1,30,60,90,365,2.0,100.0,9.0,10.0,9.0,10.0,10.0,10.0,0,flexible
37,Entire home/apt,10,3.5,4.0,5.0,Real Bed,700.0,800.0,290.0,165.0,1,0.0,2,22,42,69,340,1.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict
